
Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2014-05-16T08:27:14PDT



Main Information Table for Searching NED within 75.000 arcmin of 48.563938, -67.592281



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA(deg)|DEC(deg)|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Distance (arcmin)|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|GALEXASC J031416.17-673546.8  | 48.56741 | -67.59635 |UvS||||     |  0.257|0|0|3|0|0|0|0
2|GALEXASC J031414.59-673626.6  | 48.56081 | -67.60739 |UvS||||     |  0.910|0|0|4|0|0|0|0
3|GALEXASC J031406.40-673651.1  | 48.52667 | -67.61421 |UvS||||     |  1.568|0|0|3|0|0|0|0
4|GALEXASC J031359.14-673621.5  | 48.49644 | -67.60599 |UvS||||     |  1.749|0|0|3|0|0|0|0
5|GALEXASC J031432.66-673635.7  | 48.63609 | -67.60994 |UvS||||     |  1.961|0|0|3|0|0|0|0
6|GALEXASC J031427.19-673334.3  | 48.61331 | -67.55956 |UvS||||     |  2.265|0|0|3|0|0|0|0
7|GALEXASC J031349.77-673606.7  | 48.45738 | -67.60188 |UvS||||     |  2.504|0|0|4|0|0|0|0
8|MRSS 054-127331| 48.45992 | -67.57927 |G||||19.5r|  2.505|0|0|0|0|0|0|0
9|GALEXASC J031350.66-673431.8  | 48.46109 | -67.57551 |UvS||||     |  2.559|0|0|3|0|0|0|0
10|2MASX J03134651-6735093| 48.44396 | -67.58581 |G||||16.8r|  2.772|1|0|11|0|0|2|0
11|GALEXASC J031348.57-673340.9  | 48.45239 | -67.56139 |UvS||||     |  3.155|0|0|4|0|0|0|0
12|GALEXASC J031402.18-673831.3  | 48.50911 | -67.64205 |UvS||||     |  3.238|0|0|3|0|0|0|0
13|MRSS 054-127563| 48.43476 | -67.61755 |G||||18.9r|  3.319|0|0|0|0|0|0|0
14|GALEXASC J031339.72-673514.1  | 48.41552 | -67.58726 |UvS||||     |  3.408|0|0|3|0|0|0|0
15|MRSS 054-127461| 48.45244 | -67.55145 |G||||18.8r|  3.538|0|0|0|0|0|0|0
16|GALEXASC J031338.01-673536.6  | 48.40840 | -67.59351 |UvS||||     |  3.558|0|0|3|0|0|0|0
17|GALEXASC J031450.32-673658.8  | 48.70971 | -67.61635 |UvS||||     |  3.632|0|0|4|0|0|0|0
